mfr,mfrpn,dist,distpn,part_list,qty,desc,substitute_ok,case,mounting,layer,pins,extended_pins,comments
Keystone Electronics,931,DIGIKEY,36-931-ND,J2,1,CONN PLUG USB2.0 TYPEA 4P SMD RA,no,,SMD,top,6,6,
Microchip Technology,MCP73831T-2ACI/OT,DIGIKEY,MCP73831T-2ACI/OTCT-ND,U4 U1,2,IC CONTROLLR LI-ION 4.2V SOT23-5,no,SOT23-5,SMD,top,5,10,
TDK,C2012X5R1E106K125AB,DIGIKEY,490-5523-1-ND,C8 C3 C1 C6,4,CAP CER 10UF 25V X5R 0805,yes,,SMD,top,2,8,
UNKNOWN,UNKNOWN,ALIBABA,https://www.alibaba.com/product-detail/Molex-51005-51006-2-pin-female_60863668004.html?spm=a2700.7724857.normalList.97.20ef28e64nZnNK,B4 B1,2,Surface mount  battery connector,no,,SMD,top,4,8,
Yageo,RC0805FR-071K2L,DIGIKEY,311-1.20KCRCT-ND,R2 R3 R4 R1,4,RES SMD 1.2K OHM 1% 1/8W 0805,yes,0805,SMD,top,2,8,
YAGEO,AC0805FR-071K2L,DIGIKEY,YAG3700CT-ND,R7 R5,2,RES SMD 1.2K OHM 1% 1/8W 0805,yes,0805,SMD,top,2,4,
Lite-On Inc.,LTST-C195TGKRKT,DIGIKEY,160-2252-1-ND,D4 D1,2,LED GREEN/RED CLEAR CHIP SMD,no,4SMD,SMD,top,4,8,
