dist,distpn,qty,desc
DIGIKEY,1722-1241-ND,1,ROTARY ENCODER MECHANICAL 24PPR
SPARKFUN,LCD-14072,1,"10 Position Header, Top or Bottom Entry Connector  Surface Mount"
